"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
ISNE,"2/7/2023 11 p.m. EST",482,7,848,581,0,6270,4,3334
ISNE,"2/8/2023 12 a.m. EST",526,7,800,577,0,5272,2,3347
ISNE,"2/8/2023 1 a.m. EST",550,7,791,583,0,5151,3,3346
ISNE,"2/8/2023 2 a.m. EST",516,7,748,582,0,4981,4,3349
ISNE,"2/8/2023 3 a.m. EST",538,7,741,572,0,4867,13,3352
ISNE,"2/8/2023 4 a.m. EST",552,7,792,578,0,4716,16,3358
ISNE,"2/8/2023 5 a.m. EST",508,7,815,580,0,4755,6,3367
ISNE,"2/8/2023 6 a.m. EST",489,7,817,582,0,5184,4,3376
ISNE,"2/8/2023 7 a.m. EST",463,7,1064,589,0,6304,3,3392
ISNE,"2/8/2023 8 a.m. EST",504,23,1441,587,0,6476,2,3352
ISNE,"2/8/2023 9 a.m. EST",614,86,1066,590,0,6471,9,3355
ISNE,"2/8/2023 10 a.m. EST",612,132,898,585,0,5967,3,3330
ISNE,"2/8/2023 11 a.m. EST",630,167,852,582,0,5281,5,3349
ISNE,"2/8/2023 12 p.m. EST",699,195,848,593,0,5038,5,3362
ISNE,"2/8/2023 1 p.m. EST",723,272,794,580,0,4624,4,3332
ISNE,"2/8/2023 2 p.m. EST",878,341,821,589,0,4208,4,3363
ISNE,"2/8/2023 3 p.m. EST",907,317,870,580,0,4435,1,3371
ISNE,"2/8/2023 4 p.m. EST",910,215,878,579,0,4751,1,3382
ISNE,"2/8/2023 5 p.m. EST",861,63,941,583,0,5962,2,3393
ISNE,"2/8/2023 6 p.m. EST",898,11,1460,587,0,6826,1,3382
ISNE,"2/8/2023 7 p.m. EST",973,10,1678,583,0,6671,4,3356
ISNE,"2/8/2023 8 p.m. EST",956,10,1553,575,0,6569,3,3354
ISNE,"2/8/2023 9 p.m. EST",904,10,1158,568,0,6461,6,3344
ISNE,"2/8/2023 10 p.m. EST",954,9,900,566,0,5736,3,3343
ISNE,"2/8/2023 11 p.m. EST",932,9,809,564,0,5193,4,3336
ISNE,"2/9/2023 12 a.m. EST",865,9,774,564,0,4800,7,3352
