"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"2/7/2023 4 p.m. EST",14446,14330,12361,-2085
ISNE,"2/7/2023 5 p.m. EST",15594,15550,13506,-2088
ISNE,"2/7/2023 6 p.m. EST",16710,16690,14567,-2143
ISNE,"2/7/2023 7 p.m. EST",16736,16750,14529,-2207
ISNE,"2/7/2023 8 p.m. EST",16274,16240,13899,-2375
ISNE,"2/7/2023 9 p.m. EST",15610,15500,13213,-2397
ISNE,"2/7/2023 10 p.m. EST",14716,14610,12392,-2324
ISNE,"2/7/2023 11 p.m. EST",13875,13540,11524,-2351
ISNE,"2/8/2023 12 a.m. EST",13180,12620,10530,-2650
ISNE,"2/8/2023 1 a.m. EST",12420,11980,10431,-1989
ISNE,"2/8/2023 2 a.m. EST",12476,11570,10186,-2290
ISNE,"2/8/2023 3 a.m. EST",12358,11430,10091,-2267
ISNE,"2/8/2023 4 a.m. EST",12124,11420,10019,-2105
ISNE,"2/8/2023 5 a.m. EST",12054,11700,10039,-2015
ISNE,"2/8/2023 6 a.m. EST",12638,12570,10460,-2178
ISNE,"2/8/2023 7 a.m. EST",14115,13950,11822,-2293
ISNE,"2/8/2023 8 a.m. EST",14834,14610,12384,-2450
ISNE,"2/8/2023 9 a.m. EST",14556,13930,12191,-2365
ISNE,"2/8/2023 10 a.m. EST",14012,13010,11528,-2484
ISNE,"2/8/2023 11 a.m. EST",13330,12450,10866,-2464
ISNE,"2/8/2023 12 p.m. EST",13275,12080,10741,-2534
ISNE,"2/8/2023 1 p.m. EST",12838,11870,10330,-2508
ISNE,"2/8/2023 2 p.m. EST",12278,11840,10204,-2074
ISNE,"2/8/2023 3 p.m. EST",12307,12280,10481,-1826
ISNE,"2/8/2023 4 p.m. EST",12697,13250,10714,-1983
ISNE,"2/8/2023 5 p.m. EST",14197,14420,11805,-2392
ISNE,"2/8/2023 6 p.m. EST",15537,15710,13165,-2372
ISNE,"2/8/2023 7 p.m. EST",15830,16100,13275,-2555
ISNE,"2/8/2023 8 p.m. EST",15495,15580,13021,-2474
ISNE,"2/8/2023 9 p.m. EST",14955,14960,12451,-2504
ISNE,"2/8/2023 10 p.m. EST",14152,14190,11511,-2641
ISNE,"2/8/2023 11 p.m. EST",13130,13240,10847,-2283
ISNE,"2/9/2023 12 a.m. EST",12518,12380,10370,-2148
ISNE,"2/9/2023 1 a.m. EST",11786,11810,,
ISNE,"2/9/2023 2 a.m. EST",12061,11490,,
ISNE,"2/9/2023 3 a.m. EST",12016,11360,,
ISNE,"2/9/2023 4 a.m. EST",12088,11370,,
ISNE,"2/9/2023 5 a.m. EST",12307,11710,,
ISNE,"2/9/2023 6 a.m. EST",12945,12660,,
ISNE,"2/9/2023 7 a.m. EST",14284,14110,,
ISNE,"2/9/2023 8 a.m. EST",14920,14830,,
ISNE,"2/9/2023 9 a.m. EST",14328,14680,,
ISNE,"2/9/2023 10 a.m. EST",13828,14440,,
ISNE,"2/9/2023 11 a.m. EST",13912,14260,,
ISNE,"2/9/2023 12 p.m. EST",14131,14320,,
ISNE,"2/9/2023 1 p.m. EST",14305,14370,,
ISNE,"2/9/2023 2 p.m. EST",,14400,,
ISNE,"2/9/2023 3 p.m. EST",,14470,,
ISNE,"2/9/2023 4 p.m. EST",,14650,,
ISNE,"2/9/2023 5 p.m. EST",,15350,,
ISNE,"2/9/2023 6 p.m. EST",,16160,,
ISNE,"2/9/2023 7 p.m. EST",,16250,,
ISNE,"2/9/2023 8 p.m. EST",,15480,,
ISNE,"2/9/2023 9 p.m. EST",,14680,,
ISNE,"2/9/2023 10 p.m. EST",,13790,,
ISNE,"2/9/2023 11 p.m. EST",,12730,,
ISNE,"2/10/2023 12 a.m. EST",,11830,,
